facility_name;district_name
Namisu;Ntcheu
Lakeview;Ntcheu
Mikoke;Ntcheu
Dzonzimvai;Ntcheu
Chiole;Ntcheu
Chinguluwe;Ntchisi
Chinthembwe;Ntchisi
Kamsonga;Ntchisi
Kangolwa;Ntchisi
Khuwi;Ntchisi
Malomo;Ntchisi
Mkhuzi;Ntchisi
Mpherere;Ntchisi
Mzandu;Ntchisi
Ntchisi;Ntchisi
Nthondo;Ntchisi
Mndinda;Ntchisi
ADMARC;Salima
Chagunda;Salima
Chinguluwe;Salima
Chipoka;Salima
Chitala;Salima
Kaphatenga;Salima
Khombedza;Salima
Lifuwu;Salima
MAFCO;Salima
Maganga;Salima
Makioni;Salima
Mchoka;Salima
Ngodzi/Lifeline;Salima
SDH;Salima
Sengabay/Para;Salima
Thavite;Salima
BIMBI;Zomba
CHAMBA;Zomba
CHILIPA;Zomba
CHINGALE;Zomba
CHIPINI;Zomba
DOMASI R. HOSP;Zomba
H.PARKER;Zomba
LAMBULIRA;Zomba
LIKANGALA;Zomba
MAGOMERO;Zomba
MAKWAPALA;Zomba
MATIYA;Zomba
MAYAKA;Zomba
NAMASALIMA;Zomba
NAMIKANGO;Zomba
NGWELERO;Zomba
NKASALA;Zomba
PIRIMITI;Zomba
ST. LUKES HOSP;Zomba
STATE HOUSE;Zomba
THONDWE;Zomba
ZOMBA C.HOSP;Zomba
MUN. ASS. CLINIC;Zomba
MATAWALE;Zomba
NASAWA;Zomba
ZOMBA FOREST;Zomba
ZOMBA MENTAL HOSpital;Zomba
POLICE HOSP    ;Zomba
COBBE BARRACKS;Zomba
ZOMBA PRISON Dispensary;Zomba
M'MAMBO;Zomba
NAISI;Zomba
MACHINJIRI;Zomba
Bowe;Dowa
Chakhaza;Dowa
Chankhungu;Dowa
Chezi;Dowa
Chinkhwili;Dowa
Chisepo;Dowa
Chizolowondo;Dowa
Dowa;Dowa
Dzaleka;Dowa
Dzoole;Dowa
Kasese;Dowa
Kayembe;Dowa
Madisi;Dowa
Mbingwa;Dowa
Mponela;Dowa
Msakambewa;Dowa
Mtengowanthenga;Dowa
Mvera Army;Dowa
Mvera Mission;Dowa
Mwangala;Dowa
Nalunga;Dowa
Thonje;Dowa
Balaka District Hospital;Balaka
Phimbi;Balaka
Kalembo;Balaka
Mbera;Balaka
Chiyendausiku;Balaka
Ulongwe;Balaka
Utale-1;Balaka
Utale-2;Balaka
Kwitanda;Balaka
Phalula;Balaka
Comfort;Balaka
Kankao;Balaka
Namanolo;Balaka
Nandumbo;Balaka
